,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM1526434,9.350327963,8.213002052,4.607318653,8.99702898,8.332232093,12.11149319,5.300044929,9.390878785,10.2885868,9.972530805,8.272764807,10.2162022,5.551313021,9.928973015,7.684653374,11.87045423,12.82257375,10.02700974,13.45947733,13.12499496,7.536489403,8.434545089,5.920803454,8.77834985,12.15816556,8.731366563,9.009735535,7.226347366,8.89172919,9.842465478,8.149555891,9.153778064,7.623832527,4.087577278,5.392309331,8.170100597,7.053449394,5.761918581,7.65774786,10.74446526,11.61271949,20:00
GSM1526435,9.475192424,8.295150711,4.383543549,9.153778064,8.070409085,11.94348421,5.477785591,9.344929797,9.895760388,10.24209749,8.553405671,10.31843701,5.651921964,9.728393932,7.457174047,11.9732194,12.92461614,9.794611238,13.34850869,13.12031732,7.696271271,8.373987993,5.64034355,9.091880805,11.99839789,8.76659062,8.808399905,7.435646445,9.263824423,10.11485631,8.053869565,9.26756454,7.893172766,4.493104213,6.496473006,8.124802052,7.196603793,6.65033561,7.681623037,10.57679359,11.61877725,23:04
GSM1526436,9.813844446,8.629593973,4.64385932,9.19554511,8.065741479,11.69033241,5.024891695,9.587991022,9.561019773,9.773068928,8.50797686,10.48641004,5.707340928,9.592009503,7.518112299,12.06331778,12.63932429,10.04601855,12.70548998,12.61673968,7.524960657,8.13943058,4.327814321,8.843136463,11.85228731,9.039724022,9.467656463,7.191819428,9.146528305,10.14338673,8.085243245,9.216458475,8.003400353,3.889160548,5.860798628,7.988934279,7.118007892,6.252242534,6.074044928,10.15157541,11.1874522,2:00
GSM1526437,9.036416081,8.628461811,5.306720327,9.174681253,8.500183906,11.71297737,5.479031783,9.108229653,11.02650558,10.2836106,9.020378149,10.12593158,5.939688914,9.887377742,7.720914675,12.15538985,13.03646439,10.20231112,13.18789613,12.75382503,7.816377566,8.28595115,3.988688853,9.076121949,12.39242871,8.306750093,9.064133002,7.476689303,8.942053864,10.12404664,8.197605858,9.403839793,7.626672185,4.30680073,6.49205303,9.043800233,7.43946376,6.327527367,6.911033828,10.602393,11.31645852,12:10
GSM1526438,8.693848803,8.702191867,4.848502638,9.460975593,8.55015937,11.6571278,5.803544359,9.5063108,9.772240828,10.46755946,8.222517577,9.825853403,5.703588937,10.74248929,8.151393362,11.63510935,13.70151328,9.950336152,13.45947733,13.26866819,7.481103823,8.695280305,4.201395256,8.616188252,12.74097938,9.059829569,8.784621568,7.379113082,8.952025411,9.453774741,8.180975968,8.969262905,7.676998712,4.965489327,6.666998522,10.26791782,6.722545744,5.733557655,7.335745292,9.048606842,11.32705451,20:35
GSM1526439,8.533171636,9.182297767,4.572788325,8.792952754,8.783426987,11.62913026,5.474665351,8.763496716,10.94890086,10.18189134,8.228248067,9.292790416,5.3830042,10.27286407,8.715817088,11.76535876,14.54337192,9.870194065,13.15892657,12.64941541,7.520776124,8.25664952,5.29978683,8.480620766,12.80307608,8.043251188,8.952258549,7.099887253,8.708213388,9.289029578,8.10068129,9.240403307,7.288396176,4.235192058,7.832067913,9.799664715,6.559283766,6.04075738,7.873804164,9.335623746,11.29529039,13:00
GSM1526440,8.161191253,9.455374973,5.25826888,8.739219642,8.82537496,11.44814787,4.70727764,9.943499658,9.858653636,10.47732742,8.4153943,9.233185785,5.702843336,10.74019675,8.412379322,11.38271883,13.51751314,9.836672497,12.90512925,12.9699127,7.75637203,7.831838886,4.138459838,8.81471898,12.63401153,8.599758609,9.203892321,7.824217099,8.513905986,8.565652533,7.450786746,9.21155675,7.513490158,3.361159208,7.683155751,11.40453251,7.143696283,6.149486838,7.758362523,9.556528869,11.31793399,15:25
GSM1526441,8.478624088,9.109657964,4.834758349,8.754306248,8.956582323,11.53089812,4.99027919,9.828609231,10.32819578,9.680853315,8.572533429,9.175904067,5.504804979,10.68130323,8.727667685,11.69373814,13.75306231,10.00689678,12.92882509,12.97750595,7.923390521,7.720269747,3.727306108,8.941810623,12.51167446,8.443203356,8.986384743,7.810458811,8.819138324,9.068235542,7.855973348,9.145541214,7.699487469,3.692579436,7.805004408,11.04968707,7.262900988,6.610392525,7.982333561,9.272453793,11.07603461,14:25
GSM1526442,8.698287863,9.615077831,4.479637429,8.954899251,7.62494825,11.2797883,5.163401372,10.13722759,10.40486604,10.31247016,8.917777979,10.30084663,6.041716004,9.578431097,7.663706014,11.41662967,13.86678251,9.959962135,12.44380735,12.44059039,7.507304631,7.803934211,4.263817168,9.310671237,12.22227702,9.037339059,9.3805379,7.589326598,11.25957336,9.636189169,7.783275151,9.153289379,7.869807911,3.754556617,5.932105702,8.805385977,7.173155677,6.398835396,7.205446489,9.31497301,10.91480306,23:35
GSM1526443,7.659057977,9.510747779,4.91067178,9.173244246,8.53502655,11.41815024,5.626419037,9.07347964,10.30053345,10.55766727,8.227327793,8.4153943,5.735592878,9.995465907,8.60454744,12.04467878,14.65134678,9.709104135,13.2504557,12.79413824,7.895615984,7.844803674,4.855400011,8.873500291,13.16006201,7.516114096,8.110890603,8.040988227,10.0242461,8.897575703,7.794557347,8.991134797,7.071046109,4.618295386,7.473779251,9.831171298,7.062425665,6.238211267,7.335969921,9.764354658,11.18515093,11:45
GSM1526444,8.808399905,9.11188561,4.265897253,9.30814452,8.422136322,11.2883007,5.743123782,9.39341793,9.115279644,9.932225045,8.366644954,9.544410861,5.083722823,10.07671791,8.336344301,12.04137344,13.64753894,9.799361053,12.40440229,12.34756785,7.987861876,8.162747327,5.436267494,8.681384577,13.10551586,8.87513412,9.121439321,7.946600315,9.018287322,9.104434752,8.272561262,9.12241009,7.791028892,4.496965501,6.316285544,9.403081471,6.693711695,6.007897448,7.38753941,9.350575693,10.85090387,1:45
GSM968833,9.204129117,9.175658604,5.450370643,9.451882279,8.892425662,10.96670601,6.28785348,9.529201287,11.1299682,10.12221307,8.281154683,10.21013626,5.77555763,10.28164673,8.609983003,11.51239021,14.31809391,9.535422966,12.3853243,12.36045095,8.854565202,8.548749277,6.236393986,8.972548358,12.90000349,8.37671149,8.61808253,8.20285654,8.362133851,9.462012152,8.450063214,9.845326941,7.220069601,4.934926279,7.856177208,10.3938851,7.634751836,6.324735792,7.991571799,8.97162532,10.75512258,18:15
GSM968834,9.182829426,9.161357239,5.863761592,9.615077831,9.074215545,11.10733977,6.342248289,9.712437918,10.4580488,10.19852466,8.418314171,10.45027042,6.015469723,10.34099718,8.619680972,11.69201037,14.45800516,9.586165442,12.54777548,12.54008951,8.884261286,8.70171612,6.28298589,9.08482864,12.80205667,8.458821072,8.788075415,8.245607325,8.402962099,9.411957662,8.243601479,10.05762589,7.268713395,4.893486142,7.849400115,10.46791882,7.56445307,6.250167603,8.052725904,9.310146835,10.90554877,21:20
GSM968835,9.067236505,8.820983885,5.291310104,9.292533325,8.946518187,11.29581246,6.197198129,9.586441053,10.12689793,10.40486604,8.168714098,10.32154028,5.924496727,10.37528252,8.855491849,11.75383153,13.98050831,9.526071825,12.75086581,12.87082809,8.610876561,8.975627842,5.925942826,8.933463727,12.8863646,8.467610345,8.791332834,8.188820285,8.263007672,9.467656463,8.244265838,9.94888795,7.186712296,5.428223163,7.600124053,10.45202298,7.419438313,5.839806926,7.852502213,9.171999555,11.21427762,0:15
GSM968836,9.31677848,8.960724056,5.068975282,9.557613041,8.714403549,10.95925145,6.556342187,9.594402936,9.920962209,10.09059602,8.30743105,10.643979,5.630870546,9.965949455,8.455821766,11.78520417,13.70010645,9.974880943,12.36509393,12.49574519,8.645628825,8.828718982,5.785495856,9.059097925,12.54440818,8.618741558,8.956132283,8.23251604,8.593827208,9.729526495,8.262547933,9.970136273,7.51104463,4.231274813,7.250963644,10.06440188,7.219838233,5.909722063,7.54882322,9.213293161,10.77090016,3:15
GSM968837,9.404356665,8.858057663,5.458979236,9.500320366,8.765871727,10.92466408,6.445238335,9.535422966,10.7577937,9.88998537,8.278394366,10.78256495,5.930611216,10.24470421,8.460614235,11.8680323,13.32225809,9.869905121,12.42483741,12.1436376,8.523378136,8.89640803,6.203348811,9.142638303,12.62299472,8.832657697,9.054101993,8.212086398,8.460185905,9.831455616,8.590899574,9.982852184,7.241729928,4.005818724,7.158495436,10.39146052,7.158714154,5.612076048,7.6888246,9.30814452,10.68093711,6:15
GSM968838,9.435776981,9.178653388,5.756877847,9.30814452,8.862442499,10.86241171,6.401400818,9.560761366,11.01085404,9.760059269,8.214569785,10.49726929,5.541745034,10.51419759,8.833384997,11.65826439,13.96729041,9.419702203,12.57999123,12.32688569,8.651187371,8.48872676,5.939927949,8.776668877,12.7160708,8.590447795,9.031355041,8.111117294,8.345682293,9.597429516,8.566543262,10.00171763,7.220279339,4.793621604,7.543050733,10.47517728,7.280229822,5.948054491,7.71876069,9.297042332,10.66756057,9:15
GSM968839,9.456987193,9.33787418,5.616204054,9.239378137,9.16568207,11.00960803,6.05631145,9.513128417,12.03679232,9.962087699,8.414230028,10.24825967,6.139727016,10.51950076,8.579782973,11.7175339,14.78372176,9.409944358,12.81387847,12.41870233,9.044520323,8.542790464,6.259632409,9.227564348,12.53920451,8.402962099,9.041169909,7.871587195,8.524286378,9.472093324,8.81398635,10.01362482,7.326621189,5.087406297,8.180517121,10.45554435,7.535372984,6.338526182,8.164734495,9.33687107,10.81010324,12:15
GSM968840,8.680918623,8.89876427,6.936039943,8.659190785,8.863370024,11.1105023,5.956815272,9.066026175,10.77834878,10.34262538,7.963077156,9.497495014,5.720658299,11.16173341,9.267322311,11.88391407,14.63759292,8.927728776,13.30698612,12.53096365,8.715817088,9.094065018,5.8232312,8.684590292,13.07632641,7.88231254,8.426235465,8.237294188,8.112922821,9.103458783,8.713256155,9.719465278,6.786806936,5.881876328,7.95186281,10.65777423,7.322159957,6.262162842,8.448900774,9.570108962,11.51977896,15:15
