sample,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM1371587,8.3794,7.315984,5.764382,9.369092,7.475063,11.350253,7.526646,9.09695,7.70957,9.495903,8.216719,8.689734,9.938342,8.144632,11.039311,4.584071,11.790669,7.677482,10.990297,10.314437,7.564607,6.651509,9.390457,5.574374,8.432842,6.856104,6.890776,8.960934,7.355704,10.248619,6.926223,9.054674,7.396556,10.099078,9.052773,9.855595,8.671958,9.125173,8.684219,6.442021,7.7663,12
GSM1371587_1,8.3894,7.325984,5.774382,9.379092,7.485063,11.360253,7.536646,9.10695,7.71957,9.505903,8.226719,8.699734,9.948342,8.154632,11.049311,4.594071,11.800669,7.687482,11.000297,10.324437,7.574607,6.661509,9.400457,5.584374,8.442842,6.866104,6.900776,8.970934,7.365704,10.258619,6.936223,9.064674,7.406556,10.109078,9.062773,9.865595,8.681958,9.135173,8.694219,6.452021,7.7763,12.01
GSM1371587_2,8.3994,7.335984,5.784382,9.389092,7.495063,11.370253,7.546646,9.11695,7.72957,9.515903,8.236719,8.709734,9.958342,8.164632,11.059311,4.604071,11.810669,7.697482,11.010297,10.334437,7.584607,6.671509,9.410457,5.594374,8.452842,6.876104,6.910776,8.980934,7.375704,10.268619,6.946223,9.074674,7.416556,10.119078,9.072773,9.875595,8.691958,9.145173,8.704219,6.462021,7.7863,12.02
GSM1371587_3,8.4094,7.345984,5.794382,9.399092,7.505063,11.380253,7.556646,9.12695,7.73957,9.525903,8.246719,8.719734,9.968342,8.174632,11.069311,4.614071,11.820669,7.707482,11.020297,10.344437,7.594607,6.681509,9.420457,5.604374,8.462842,6.886104,6.920776,8.990934,7.385704,10.278619,6.956223,9.084674,7.426556,10.129078,9.082773,9.885595,8.701958,9.155173,8.714219,6.472021,7.7963,12.03
GSM1371587_4,8.4194,7.355984,5.804382,9.409092,7.515063,11.390253,7.566646,9.13695,7.74957,9.535903,8.256719,8.729734,9.978342,8.184632,11.079311,4.624071,11.830669,7.717482,11.030297,10.354437,7.604607,6.691509,9.430457,5.614374,8.472842,6.896104,6.930776,9.000934,7.395704,10.288619,6.966223,9.094674,7.436556,10.139078,9.092773,9.895595,8.711958,9.165173,8.724219,6.482021,7.8063,12.04
GSM1371588,9.573887,8.259312,5.523096,9.568669,7.381103,9.881274,7.779574,9.675006,7.613181,9.652559,8.874107,10.179224,9.896056,7.708797,10.270741,3.635772,11.670899,9.304985,9.237507,9.398149,8.371257,7.781005,10.005544,5.695554,8.585761,7.071016,7.13757,8.609337,8.107248,11.093922,7.32681,9.352121,7.785136,9.169705,7.351948,10.04503,8.547208,9.466931,9.034109,6.939976,7.10635,4
GSM1371588_1,9.583887,8.269312,5.533096,9.578669,7.391103,9.891274,7.789574,9.685006,7.623181,9.662559,8.884107,10.189224,9.906056,7.718797,10.280741,3.645772,11.680899,9.314985,9.247507,9.408149,8.381257,7.791005,10.015544,5.705554,8.595761,7.081016,7.14757,8.619337,8.117248,11.103922,7.33681,9.362121,7.795136,9.179705,7.361948,10.05503,8.557208,9.476931,9.044109,6.949976,7.11635,4.01
GSM1371588_2,9.593887,8.279312,5.543096,9.588669,7.401103,9.901274,7.799574,9.695006,7.633181,9.672559,8.894107,10.199224,9.916056,7.728797,10.290741,3.655772,11.690899,9.324985,9.257507,9.418149,8.391257,7.801005,10.025544,5.715554,8.605761,7.091016,7.15757,8.629337,8.127248,11.113922,7.34681,9.372121,7.805136,9.189705,7.371948,10.06503,8.567208,9.486931,9.054109,6.959976,7.12635,4.02
GSM1371588_3,9.603887,8.289312,5.553096,9.598669,7.411103,9.911274,7.809574,9.705006,7.643181,9.682559,8.904107,10.209224,9.926056,7.738797,10.300741,3.665772,11.700899,9.334985,9.267507,9.428149,8.401257,7.811005,10.035544,5.725554,8.615761,7.101016,7.16757,8.639337,8.137248,11.123922,7.35681,9.382121,7.815136,9.199705,7.381948,10.07503,8.577208,9.496931,9.064109,6.969976,7.13635,4.03
GSM1371588_4,9.613887,8.299312,5.563096,9.608669,7.421103,9.921274,7.819574,9.715006,7.653181,9.692559,8.914107,10.219224,9.936056,7.748797,10.310741,3.675772,11.710899,9.344985,9.277507,9.438149,8.411257,7.821005,10.045544,5.735554,8.625761,7.111016,7.17757,8.649337,8.147248,11.133922,7.36681,9.392121,7.825136,9.209705,7.391948,10.08503,8.587208,9.506931,9.074109,6.979976,7.14635,4.04
